GEMS Contest ID,Contest Sort Seq,District Type,District Type Subheading,District Name,Ballot Title,Ballots Counted for District,Registered Voters for District,Percent Turnout for District,Candidate Sort Seq,Ballot Response,Party Preference,Votes,Percent of Votes
313,2550,Special Purpose District,Fire District,Shoreline Fire Department,Commissioner Position No. 1,14463,37451,"38.62 ",20,Write-in,,138,"1.55 "
305,2470,Special Purpose District,Fire District,King County Fire Protection District No. 43,Commissioner Position No. 5,10406,27326,"38.08 ",20,Write-in,,37,"0.58 "
305,2470,Special Purpose District,Fire District,King County Fire Protection District No. 43,Commissioner Position No. 5,10406,27326,"38.08 ",10,Craig Hooper,,6298,"99.42 "
254,1960,School,,Bellevue School District No. 405,Director District No. 3,31147,75238,"41.40 ",20,Write-in,,290,"1.38 "
254,1960,School,,Bellevue School District No. 405,Director District No. 3,31147,75238,"41.40 ",10,Erica Melief,,20692,"98.62 "
303,2450,Special Purpose District,Fire District,King County Fire Protection District No. 43,Commissioner Position No. 2,10406,27326,"38.08 ",10,Chris Bodlovic,,6260,"99.33 "
303,2450,Special Purpose District,Fire District,King County Fire Protection District No. 43,Commissioner Position No. 2,10406,27326,"38.08 ",20,Write-in,,42,"0.67 "
152,940,City,,City of Maple Valley,Council Position No. 2,5964,16043,"37.18 ",20,Write-in,,93,"2.24 "
152,940,City,,City of Maple Valley,Council Position No. 2,5964,16043,"37.18 ",10,Linda Olson,,4051,"97.76 "
320,2620,Special Purpose District,Fire District,Woodinville Fire & Rescue,Commissioner Position No. 1,14290,24643,"57.99 ",20,Write-in,,67,"0.78 "
320,2620,Special Purpose District,Fire District,Woodinville Fire & Rescue,Commissioner Position No. 1,14290,24643,"57.99 ",10,Derek van Veen,,8476,"99.22 "
213,1550,City,,City of Tukwila,Council Position No. 5,3053,9172,"33.29 ",10,Zak Idan,,1579,"54.28 "
213,1550,City,,City of Tukwila,Council Position No. 5,3053,9172,"33.29 ",20,Dennis Martinez,,1316,"45.24 "
213,1550,City,,City of Tukwila,Council Position No. 5,3053,9172,"33.29 ",30,Write-in,,14,"0.48 "
155,970,City,,City of Medina,Council Position No. 1,953,2231,"42.72 ",20,Write-in,,9,"1.43 "
155,970,City,,City of Medina,Council Position No. 1,953,2231,"42.72 ",10,Jessica L. Rossman,,622,"98.57 "
194,1360,City,,City of SeaTac,Council Position No. 4,3668,13153,"27.89 ",20,Pam Pollock,,1533,"46.19 "
194,1360,City,,City of SeaTac,Council Position No. 4,3668,13153,"27.89 ",30,Write-in,,43,"1.30 "
194,1360,City,,City of SeaTac,Council Position No. 4,3668,13153,"27.89 ",10,Clyde (Fuzz) Hill,,1743,"52.52 "
344,2860,Special Purpose District,Sewer & Water District,Highlands Sewer District,Commissioner Position No. 1,91,217,"41.94 ",10,Michael J. Maloney,,69,"100.00 "
344,2860,Special Purpose District,Sewer & Water District,Highlands Sewer District,Commissioner Position No. 1,91,217,"41.94 ",20,Write-in,,0,"0.00 "
326,2680,Special Purpose District,Water District,King County Water District No. 1,Commissioner Position No. 3,219,427,"51.29 ",10,Charles H. Porter,,130,"100.00 "
326,2680,Special Purpose District,Water District,King County Water District No. 1,Commissioner Position No. 3,219,427,"51.29 ",20,Write-in,,0,"0.00 "
108,500,City,,City of Des Moines,Council Position No. 5,6258,17174,"36.44 ",10,Traci Buxton,,3281,"56.30 "
108,500,City,,City of Des Moines,Council Position No. 5,6258,17174,"36.44 ",30,Write-in,,8,"0.14 "
108,500,City,,City of Des Moines,Council Position No. 5,6258,17174,"36.44 ",20,Harry Steinmetz,,2539,"43.57 "
308,2500,Special Purpose District,Fire District,King County Fire Protection District No. 50,Commissioner Position No. 1,145,356,"40.73 ",20,Write-in,,5,"4.95 "
308,2500,Special Purpose District,Fire District,King County Fire Protection District No. 50,Commissioner Position No. 1,145,356,"40.73 ",10,Arthur R. Allegri,,96,"95.05 "
65,70,County,,King County,Executive,546200,1279345,"42.69 ",20,Bill Hirt,,114318,"22.65 "
65,70,County,,King County,Executive,546200,1279345,"42.69 ",30,Write-in,,2197,"0.44 "
65,70,County,,King County,Executive,546200,1279345,"42.69 ",10,Dow Constantine,,388266,"76.92 "
353,2950,Special Purpose District,Sewer & Water District,Valley View Sewer District,Commissioner Position No. 1,5400,18232,"29.62 ",20,Ray Couture,,795,"17.93 "
353,2950,Special Purpose District,Sewer & Water District,Valley View Sewer District,Commissioner Position No. 1,5400,18232,"29.62 ",30,Write-in,,24,"0.54 "
353,2950,Special Purpose District,Sewer & Water District,Valley View Sewer District,Commissioner Position No. 1,5400,18232,"29.62 ",10,Deborah McCaslin,,3614,"81.52 "
317,2590,Special Purpose District,Fire District,South King Fire and Rescue,Commissioner Position No. 5,26638,79431,"33.54 ",10,James A. Fossos,,17914,"99.23 "
317,2590,Special Purpose District,Fire District,South King Fire and Rescue,Commissioner Position No. 5,26638,79431,"33.54 ",20,Write-in,,139,"0.77 "
368,3100,Special Purpose District,Hospital District,Public Hospital District No. 4,Commissioner Position No. 3,11731,28254,"41.52 ",10,Emma R. Herron,,6990,"98.41 "
368,3100,Special Purpose District,Hospital District,Public Hospital District No. 4,Commissioner Position No. 3,11731,28254,"41.52 ",20,Write-in,,113,"1.59 "
165,1070,City,,City of Milton,Council Position No. 3,348,816,"42.65 ",10,Bryan W. Ott,,217,"80.37 "
165,1070,City,,City of Milton,Council Position No. 3,348,816,"42.65 ",20,Write-in,,53,"19.63 "
357,2872,Special Purpose District,Sewer & Water District,Northeast Sammamish Sewer and Water District,Commissioner Position No. 2,4780,8646,"55.29 ",20,Write-in,,23,"0.78 "
357,2872,Special Purpose District,Sewer & Water District,Northeast Sammamish Sewer and Water District,Commissioner Position No. 2,4780,8646,"55.29 ",10,Wayne DeMeester,,2930,"99.22 "
249,1910,School,,Renton School District No. 403,Director District No. 2,20564,67605,"30.42 ",20,Write-in,,166,"1.17 "
249,1910,School,,Renton School District No. 403,Director District No. 2,20564,67605,"30.42 ",10,Avanti Bergquist,,14001,"98.83 "
296,2380,Special Purpose District,Fire District,King County Fire Protection District No. 34,Commissioner Position No. 1,8376,14608,"57.34 ",20,Write-in,,34,"0.69 "
296,2380,Special Purpose District,Fire District,King County Fire Protection District No. 34,Commissioner Position No. 1,8376,14608,"57.34 ",10,Peter Lucarelli,,4908,"99.31 "
316,2580,Special Purpose District,Fire District,South King Fire and Rescue,Commissioner Position No. 4,26638,79431,"33.54 ",10,Mark L. Thompson,,17972,"99.26 "
316,2580,Special Purpose District,Fire District,South King Fire and Rescue,Commissioner Position No. 4,26638,79431,"33.54 ",20,Write-in,,134,"0.74 "
276,2180,School,,Fife School District No. 417,Director District No. 4,983,3095,"31.76 ",10,Cheryl Reid-Simons,,644,"98.32 "
276,2180,School,,Fife School District No. 417,Director District No. 4,983,3095,"31.76 ",20,Write-in,,11,"1.68 "
318,2600,Special Purpose District,Fire District,Vashon Island Fire and Rescue,Commissioner Position No. 1,5072,8667,"58.52 ",10,Andy Johnson,,3190,"99.07 "
318,2600,Special Purpose District,Fire District,Vashon Island Fire and Rescue,Commissioner Position No. 1,5072,8667,"58.52 ",20,Write-in,,30,"0.93 "
238,1800,School,,Federal Way School District No. 210,Director District No. 1,23804,71272,"33.40 ",10,Geoffery Z. McAnalloy,,16000,"98.52 "
238,1800,School,,Federal Way School District No. 210,Director District No. 1,23804,71272,"33.40 ",20,Write-in,,240,"1.48 "
287,2290,Special Purpose District,Fire District,King County Fire Protection District No. 16,Commissioner Position No. 1,10827,25072,"43.18 ",20,Rick Verlinda,,5793,"67.83 "
287,2290,Special Purpose District,Fire District,King County Fire Protection District No. 16,Commissioner Position No. 1,10827,25072,"43.18 ",30,Write-in,,16,"0.19 "
287,2290,Special Purpose District,Fire District,King County Fire Protection District No. 16,Commissioner Position No. 1,10827,25072,"43.18 ",10,John Buller,,2731,"31.98 "
151,930,City,,City of Lake Forest Park,Council Position No. 7,4786,10032,"47.71 ",20,Write-in,,339,"10.22 "
151,930,City,,City of Lake Forest Park,Council Position No. 7,4786,10032,"47.71 ",10,John Resha,,2977,"89.78 "
323,2650,Special Purpose District,Water District,Covington Water District,Commissioner Position No. 4,12130,35292,"34.37 ",20,Jeff Clark,,2827,"29.58 "
323,2650,Special Purpose District,Water District,Covington Water District,Commissioner Position No. 4,12130,35292,"34.37 ",30,Write-in,,33,"0.35 "
323,2650,Special Purpose District,Water District,Covington Water District,Commissioner Position No. 4,12130,35292,"34.37 ",10,Brad Lake,,6698,"70.08 "
134,760,City,,City of Kenmore,Council Position No. 4,6041,15040,"40.17 ",30,Write-in,,11,"0.20 "
134,760,City,,City of Kenmore,Council Position No. 4,6041,15040,"40.17 ",20,Patrick O'Brien,,2030,"36.31 "
134,760,City,,City of Kenmore,Council Position No. 4,6041,15040,"40.17 ",10,Nigel Herbig,,3549,"63.49 "
232,1740,City,,Town of Yarrow Point,Council Position No. 1,401,834,"48.08 ",20,Stephan Lagerholm,,181,"50.70 "
232,1740,City,,Town of Yarrow Point,Council Position No. 1,401,834,"48.08 ",30,Write-in,,0,"0.00 "
232,1740,City,,Town of Yarrow Point,Council Position No. 1,401,834,"48.08 ",10,David Young,,176,"49.30 "
243,1850,School,,Mercer Island School District No. 400,Director Position No. 2,8754,17663,"49.56 ",20,Caifeng Wu,,2028,"27.62 "
243,1850,School,,Mercer Island School District No. 400,Director Position No. 2,8754,17663,"49.56 ",10,Brian Giannini Upton,,5286,"72.00 "
243,1850,School,,Mercer Island School District No. 400,Director Position No. 2,8754,17663,"49.56 ",30,Write-in,,28,"0.38 "
365,3070,Special Purpose District,Hospital District,Public Hospital District No. 2,Commissioner District No. 3,85334,179432,"47.56 ",10,Tim McLaughlin,,50743,"99.29 "
365,3070,Special Purpose District,Hospital District,Public Hospital District No. 2,Commissioner District No. 3,85334,179432,"47.56 ",20,Write-in,,361,"0.71 "
255,1970,School,,Bellevue School District No. 405,Director District No. 5,31147,75238,"41.40 ",30,Write-in,,52,"0.19 "
255,1970,School,,Bellevue School District No. 405,Director District No. 5,31147,75238,"41.40 ",10,My-Linh Thai,,19114,"69.27 "
255,1970,School,,Bellevue School District No. 405,Director District No. 5,31147,75238,"41.40 ",20,Hugh Gladner,,8429,"30.55 "
174,1160,City,,City of Normandy Park,Council Position No. 7,2476,4954,"49.98 ",10,Sue-Ann Hohimer,,1689,"98.60 "
174,1160,City,,City of Normandy Park,Council Position No. 7,2476,4954,"49.98 ",20,Write-in,,24,"1.40 "
162,1040,City,,City of Milton,Mayor,348,816,"42.65 ",30,Write-in,,0,"0.00 "
162,1040,City,,City of Milton,Mayor,348,816,"42.65 ",10,Debra Perry,,137,"40.29 "
162,1040,City,,City of Milton,Mayor,348,816,"42.65 ",20,Shanna Styron Sherrell,,203,"59.71 "
158,1000,City,,City of Medina,Council Position No. 7,953,2231,"42.72 ",10,Alex Morcos,,612,"98.71 "
158,1000,City,,City of Medina,Council Position No. 7,953,2231,"42.72 ",20,Write-in,,8,"1.29 "
209,1510,City,,City of Snoqualmie,Council Position No. 6,3806,7723,"49.28 ",20,Monica Lowney,,1710,"49.29 "
209,1510,City,,City of Snoqualmie,Council Position No. 6,3806,7723,"49.28 ",10,Sean Sundwall,,1754,"50.56 "
209,1510,City,,City of Snoqualmie,Council Position No. 6,3806,7723,"49.28 ",30,Write-in,,5,"0.14 "
274,2160,School,,Kent School District No. 415,Director District No. 5,29581,91232,"32.42 ",20,Write-in,,350,"1.78 "
274,2160,School,,Kent School District No. 415,Director District No. 5,29581,91232,"32.42 ",10,Maya Vengadasalam,,19297,"98.22 "
103,450,City,,City of Covington,Council Position No. 2,3329,11717,"28.41 ",20,Paul Selland,,1581,"50.58 "
103,450,City,,City of Covington,Council Position No. 2,3329,11717,"28.41 ",10,Jennifer Harjehausen,,1538,"49.20 "
103,450,City,,City of Covington,Council Position No. 2,3329,11717,"28.41 ",30,Write-in,,7,"0.22 "
286,2280,Special Purpose District,Fire District,King County Fire Protection District No. 10,Commissioner Position No. 4,5898,15133,"38.97 ",20,Write-in,,39,"1.13 "
286,2280,Special Purpose District,Fire District,King County Fire Protection District No. 10,Commissioner Position No. 4,5898,15133,"38.97 ",10,Alan Martin,,3416,"98.87 "
236,1780,School,,Seattle School District No. 1,Director District No. 5,224937,457220,"49.20 ",30,Write-in,,691,"0.36 "
236,1780,School,,Seattle School District No. 1,Director District No. 5,224937,457220,"49.20 ",10,Zachary Pullin DeWolf,,124310,"64.50 "
236,1780,School,,Seattle School District No. 1,Director District No. 5,224937,457220,"49.20 ",20,Omar Vasquez,,67733,"35.14 "
219,241,City,,Town of Beaux Arts Village,Mayor,131,251,"52.19 ",20,Write-in,,4,"3.42 "
219,241,City,,Town of Beaux Arts Village,Mayor,131,251,"52.19 ",10,John Gillem,,113,"96.58 "
211,1530,City,,City of Tukwila,Council Position No. 1,3053,9172,"33.29 ",10,Verna Seal,,2191,"97.81 "
211,1530,City,,City of Tukwila,Council Position No. 1,3053,9172,"33.29 ",20,Write-in,,49,"2.19 "
106,480,City,,City of Des Moines,Council Position No. 1,6258,17174,"36.44 ",20,Anthony Martinelli,,2283,"38.68 "
106,480,City,,City of Des Moines,Council Position No. 1,6258,17174,"36.44 ",10,Matt Pina,,3600,"61.00 "
106,480,City,,City of Des Moines,Council Position No. 1,6258,17174,"36.44 ",30,Write-in,,19,"0.32 "
137,790,City,,City of Kent,Council Position No. 2,19423,61380,"31.64 ",30,Write-in,,34,"0.19 "
137,790,City,,City of Kent,Council Position No. 2,19423,61380,"31.64 ",10,Satwinder Kaur,,10320,"57.46 "
137,790,City,,City of Kent,Council Position No. 2,19423,61380,"31.64 ",20,Paul Addis,,7605,"42.35 "
112,540,City,,City of Duvall,Council Position No. 2,2605,4689,"55.56 ",10,Matthew Eyer,,1769,"97.90 "
112,540,City,,City of Duvall,Council Position No. 2,2605,4689,"55.56 ",20,Write-in,,38,"2.10 "
119,610,City,,City of Enumclaw,Council Position No. 5,2991,7388,"40.48 ",10,Kyle Jacobson,,1877,"71.86 "
119,610,City,,City of Enumclaw,Council Position No. 5,2991,7388,"40.48 ",20,Blain Thomas,,725,"27.76 "
119,610,City,,City of Enumclaw,Council Position No. 5,2991,7388,"40.48 ",30,Write-in,,10,"0.38 "
315,2570,Special Purpose District,Fire District,Snoqualmie Pass Fire Protection District No. 51,Commissioner Position No. 2,25,55,"45.45 ",20,Write-in,,3,"13.64 "
315,2570,Special Purpose District,Fire District,Snoqualmie Pass Fire Protection District No. 51,Commissioner Position No. 2,25,55,"45.45 ",10,Billy Powers,,19,"86.36 "
92,340,City,,City of Bothell,Council Position No. 5,6001,16234,"36.97 ",30,Write-in,,14,"0.27 "
92,340,City,,City of Bothell,Council Position No. 5,6001,16234,"36.97 ",20,Jeremy B. Michel,,1627,"30.94 "
92,340,City,,City of Bothell,Council Position No. 5,6001,16234,"36.97 ",10,Liam Olsen,,3617,"68.79 "
68,100,County,,Metropolitan King County Council District No. 3,Council District No. 3,68191,145355,"46.91 ",10,Kathy Lambert,,34358,"57.21 "
68,100,County,,Metropolitan King County Council District No. 3,Council District No. 3,68191,145355,"46.91 ",30,Write-in,,87,"0.14 "
68,100,County,,Metropolitan King County Council District No. 3,Council District No. 3,68191,145355,"46.91 ",20,John Murphy,,25608,"42.64 "
62,40,State,,Legislative District No. 45,State Senator,50939,92636,"54.99 ",20,Jinyoung Lee Englund,(Prefers Republican Party),22361,"44.48 "
62,40,State,,Legislative District No. 45,State Senator,50939,92636,"54.99 ",30,Write-in,,156,"0.31 "
62,40,State,,Legislative District No. 45,State Senator,50939,92636,"54.99 ",10,Manka Dhingra,(Prefers Democratic Party),27755,"55.21 "
120,620,City,,City of Enumclaw,Council Position No. 7,2991,7388,"40.48 ",10,Hoke Overland,,1413,"52.04 "
120,620,City,,City of Enumclaw,Council Position No. 7,2991,7388,"40.48 ",30,Write-in,,7,"0.26 "
120,620,City,,City of Enumclaw,Council Position No. 7,2991,7388,"40.48 ",20,Jean Hoiland,,1295,"47.70 "
265,2070,School,,Snoqualmie Valley School District No. 410,Director District No. 1,10988,26077,"42.14 ",20,Tavish MacLean,,4495,"48.75 "
265,2070,School,,Snoqualmie Valley School District No. 410,Director District No. 1,10988,26077,"42.14 ",10,Melissa Johnson,,4705,"51.02 "
265,2070,School,,Snoqualmie Valley School District No. 410,Director District No. 1,10988,26077,"42.14 ",30,Write-in,,21,"0.23 "
307,2490,Special Purpose District,Fire District,King County Fire Protection District No. 47,Commissioner Position No. 1,455,1412,"32.22 ",10,Colleen K. Deveraux,,279,"96.88 "
307,2490,Special Purpose District,Fire District,King County Fire Protection District No. 47,Commissioner Position No. 1,455,1412,"32.22 ",20,Write-in,,9,"3.13 "
167,1090,City,,City of Newcastle,Council Position No. 5,2733,7119,"38.39 ",10,Rich Crispo,,1242,"48.27 "
167,1090,City,,City of Newcastle,Council Position No. 5,2733,7119,"38.39 ",20,Dave Mitchell,,1318,"51.22 "
167,1090,City,,City of Newcastle,Council Position No. 5,2733,7119,"38.39 ",30,Write-in,,13,"0.51 "
292,2251,Special Purpose District,Fire District,Enumclaw Fire Department,Commissioner Position No. 1,5057,12627,"40.05 ",20,Paul Fisher,,1624,"39.14 "
292,2251,Special Purpose District,Fire District,Enumclaw Fire Department,Commissioner Position No. 1,5057,12627,"40.05 ",30,Write-in,,17,"0.41 "
292,2251,Special Purpose District,Fire District,Enumclaw Fire Department,Commissioner Position No. 1,5057,12627,"40.05 ",10,Jenny Page,,2508,"60.45 "
149,910,City,,City of Lake Forest Park,Council Position No. 3,4786,10032,"47.71 ",10,John Wright,,2155,"50.98 "
149,910,City,,City of Lake Forest Park,Council Position No. 3,4786,10032,"47.71 ",20,Benjamin Gonzalez O'Brien,,2061,"48.76 "
149,910,City,,City of Lake Forest Park,Council Position No. 3,4786,10032,"47.71 ",30,Write-in,,11,"0.26 "
396,4,County,,King County,Proposition No. 1,546200,1279345,"42.69 ",2,Rejected,,163567,"31.41 "
396,4,County,,King County,Proposition No. 1,546200,1279345,"42.69 ",1,Approved,,357238,"68.59 "
122,640,City,,City of Federal Way,Council Position No. 2,15659,46992,"33.32 ",30,Write-in,,25,"0.17 "
122,640,City,,City of Federal Way,Council Position No. 2,15659,46992,"33.32 ",20,Bob Celski,,6756,"46.70 "
122,640,City,,City of Federal Way,Council Position No. 2,15659,46992,"33.32 ",10,Jesse Johnson,,7685,"53.12 "
340,2820,Special Purpose District,Water District,North City Water District,Commissioner Position No. 1,6706,16939,"39.59 ",20,Write-in,,61,"1.51 "
340,2820,Special Purpose District,Water District,North City Water District,Commissioner Position No. 1,6706,16939,"39.59 ",10,Ronald F. (Ron) Ricker,,3966,"98.49 "
127,690,City,,City of Issaquah,Mayor,8206,21420,"38.31 ",20,Paul Winterstein,,2798,"35.68 "
127,690,City,,City of Issaquah,Mayor,8206,21420,"38.31 ",10,Mary Lou Pauly,,5015,"63.94 "
127,690,City,,City of Issaquah,Mayor,8206,21420,"38.31 ",30,Write-in,,30,"0.38 "
228,1452,City,,Town of Skykomish,Council Position No. 1,57,116,"49.14 ",20,Write-in,,1,"2.27 "
228,1452,City,,Town of Skykomish,Council Position No. 1,57,116,"49.14 ",10,Todd Brunner,,43,"97.73 "
178,1200,City,,City of Pacific,Council Position No. 2,727,3230,"22.51 ",10,Kerry Garberding,,486,"92.93 "
178,1200,City,,City of Pacific,Council Position No. 2,727,3230,"22.51 ",20,Write-in,,37,"7.07 "
210,1520,City,,City of Snoqualmie,Council Position No. 7,3806,7723,"49.28 ",30,Write-in,,2,"0.06 "
210,1520,City,,City of Snoqualmie,Council Position No. 7,3806,7723,"49.28 ",10,Kathi Prewitt,,1541,"45.93 "
210,1520,City,,City of Snoqualmie,Council Position No. 7,3806,7723,"49.28 ",20,Peggy Shepard,,1812,"54.01 "
367,3090,Special Purpose District,Hospital District,Public Hospital District No. 2,Commissioner Position No. 7,85334,179432,"47.56 ",20,Write-in,,374,"0.74 "
367,3090,Special Purpose District,Hospital District,Public Hospital District No. 2,Commissioner Position No. 7,85334,179432,"47.56 ",10,Virgil Snyder,,50018,"99.26 "
84,260,City,,City of Bellevue,Council Position No. 4,31755,77551,"40.95 ",20,Karol Brown,,14302,"47.95 "
84,260,City,,City of Bellevue,Council Position No. 4,31755,77551,"40.95 ",30,Write-in,,37,"0.12 "
84,260,City,,City of Bellevue,Council Position No. 4,31755,77551,"40.95 ",10,Jared Nieuwenhuis,,15486,"51.92 "
222,244,City,,Town of Beaux Arts Village,Council Position No. 5,131,251,"52.19 ",20,Write-in,,1,"0.92 "
222,244,City,,Town of Beaux Arts Village,Council Position No. 5,131,251,"52.19 ",10,Hans W. Juhle,,108,"99.08 "
130,720,City,,City of Issaquah,Council Position No. 3,8206,21420,"38.31 ",10,Justin Walsh,,5215,"97.49 "
130,720,City,,City of Issaquah,Council Position No. 3,8206,21420,"38.31 ",20,Write-in,,134,"2.51 "
390,3320,Special Purpose District,Community Municipal Corporation,Houghton Community Municipal Corporation,Council Position No. 5,2236,5162,"43.32 ",10,John Kappler,,1328,"99.03 "
390,3320,Special Purpose District,Community Municipal Corporation,Houghton Community Municipal Corporation,Council Position No. 5,2236,5162,"43.32 ",20,Write-in,,13,"0.97 "
233,1750,City,,Town of Yarrow Point,Council Position No. 3,401,834,"48.08 ",20,Write-in,,2,"0.69 "
233,1750,City,,Town of Yarrow Point,Council Position No. 3,401,834,"48.08 ",10,Mary G. Elmore,,286,"99.31 "
275,2170,School,,Fife School District No. 417,Director District No. 3,983,3095,"31.76 ",20,Tracie Rees,,305,"48.57 "
275,2170,School,,Fife School District No. 417,Director District No. 3,983,3095,"31.76 ",10,Sally W. Finlayson,,293,"46.66 "
275,2170,School,,Fife School District No. 417,Director District No. 3,983,3095,"31.76 ",30,Write-in,,30,"4.78 "
268,2100,School,,Issaquah School District No. 411,Director District No. 4,25552,67682,"37.75 ",20,Write-in,,193,"1.17 "
268,2100,School,,Issaquah School District No. 411,Director District No. 4,25552,67682,"37.75 ",10,Lisa Callan,,16265,"98.83 "
215,1570,City,,City of Woodinville,Council Position No. 1,3912,7542,"51.87 ",10,Paula Waters,,2419,"98.37 "
215,1570,City,,City of Woodinville,Council Position No. 1,3912,7542,"51.87 ",20,Write-in,,40,"1.63 "
148,900,City,,City of Lake Forest Park,Council Position No. 1,4786,10032,"47.71 ",10,Semra Riddle,,3135,"97.42 "
148,900,City,,City of Lake Forest Park,Council Position No. 1,4786,10032,"47.71 ",20,Write-in,,83,"2.58 "
269,2110,School,,Shoreline School District No. 412,Director District No. 2,19239,47424,"40.57 ",30,Write-in,,45,"0.27 "
269,2110,School,,Shoreline School District No. 412,Director District No. 2,19239,47424,"40.57 ",10,Heather Fralick,,9126,"54.82 "
269,2110,School,,Shoreline School District No. 412,Director District No. 2,19239,47424,"40.57 ",20,Jill Brady,,7476,"44.91 "
260,2020,School,,Riverview School District No. 407,Director District No. 5,7127,14453,"49.31 ",10,Sabrina Parnell,,4408,"98.48 "
260,2020,School,,Riverview School District No. 407,Director District No. 5,7127,14453,"49.31 ",20,Write-in,,68,"1.52 "
289,2310,Special Purpose District,Fire District,King County Fire Protection District No. 20,Commissioner Position No. 1,2864,9250,"30.96 ",10,Craig Buckton,,1638,"72.93 "
289,2310,Special Purpose District,Fire District,King County Fire Protection District No. 20,Commissioner Position No. 1,2864,9250,"30.96 ",30,Write-in,,20,"0.89 "
289,2310,Special Purpose District,Fire District,King County Fire Protection District No. 20,Commissioner Position No. 1,2864,9250,"30.96 ",20,Eugene V. Lux,,588,"26.18 "
206,1480,City,,City of Snoqualmie,Council Position No. 2,3806,7723,"49.28 ",10,Katherine Ross,,1943,"56.53 "
206,1480,City,,City of Snoqualmie,Council Position No. 2,3806,7723,"49.28 ",20,Lesley Sheppard,,1490,"43.35 "
206,1480,City,,City of Snoqualmie,Council Position No. 2,3806,7723,"49.28 ",30,Write-in,,4,"0.12 "
226,684,City,,Town of Hunts Point,Council Position No. 5,199,362,"54.97 ",30,Write-in,,2,"1.14 "
226,684,City,,Town of Hunts Point,Council Position No. 5,199,362,"54.97 ",20,Dan Temkin,,88,"50.00 "
226,684,City,,Town of Hunts Point,Council Position No. 5,199,362,"54.97 ",10,Ernest Norehad,,86,"48.86 "
73,150,Court of Appeals,,"Court of Appeals, Division No. 1, District No. 1",Judge Position No. 5,546200,1279345,"42.69 ",10,David Mann,,324883,"98.36 "
73,150,Court of Appeals,,"Court of Appeals, Division No. 1, District No. 1",Judge Position No. 5,546200,1279345,"42.69 ",20,Write-in,,5417,"1.64 "
293,2252,Special Purpose District,Fire District,Enumclaw Fire Department,Commissioner Position No. 4,5057,12627,"40.05 ",10,Jim Zoll,,3288,"97.92 "
293,2252,Special Purpose District,Fire District,Enumclaw Fire Department,Commissioner Position No. 4,5057,12627,"40.05 ",20,Write-in,,70,"2.08 "
76,180,Port,,Port of Seattle,Commissioner Position No. 4,546200,1279345,"42.69 ",20,Peter Steinbrueck,,269174,"57.21 "
76,180,Port,,Port of Seattle,Commissioner Position No. 4,546200,1279345,"42.69 ",30,Write-in,,2136,"0.45 "
76,180,Port,,Port of Seattle,Commissioner Position No. 4,546200,1279345,"42.69 ",10,Preeti Shridhar,,199207,"42.34 "
328,2700,Special Purpose District,Water District,King County Water District No. 117,Commissioner Position No. 1,50,85,"58.82 ",10,Charles Anderson,,45,"100.00 "
328,2700,Special Purpose District,Water District,King County Water District No. 117,Commissioner Position No. 1,50,85,"58.82 ",20,Write-in,,0,"0.00 "
123,650,City,,City of Federal Way,Council Position No. 4,15659,46992,"33.32 ",10,Hoang Tran,,7485,"52.78 "
